zip,city,province,district,lon,lat
20664,Galaboda,Central Province,Kandy,6.9864,80.5295
20666,Weligampola,Central Province,Kandy,7.0243,80.5504
20676,Rambukpitiya,Central Province,Kandy,7.0359,80.5174
20702,Mailapitiya,Central Province,Kandy,7.1998,80.7552
20708,Unuwinna,Central Province,Kandy,7.1998,80.7552
20710,Hanguranketha,Central Province,Kandy,7.1252,80.7879
20712,Gonagantenna,Central Province,Kandy,7.1252,80.7879
20714,Marymount Colony,Central Province,Kandy,7.1252,80.7879
20722,Udawatta,Central Province,Kandy,7.1727,80.8149
20724,lllagolla,Central Province,Kandy,7.1727,80.8149
20730,Rikillagaskada,Central Province,Kandy,7.144,80.7834
20732,Ekiriya,Central Province,Kandy,7.1474,80.7562
20734,Pallebowala,Central Province,Kandy,7.1402,80.7792
20738,Karandagolla,Central Province,Kandy,7.1293,80.798
20742,Elamulla,Central Province,Kandy,7.0542,80.7792
20744,Mandaram Nuwara,Central Province,Kandy,7.0642,80.7844
20748,Maturata,Central Province,Kandy,7.0742,80.7897
20800,Katugastota,Central Province,Kandy,7.3276,80.6212
20802,Udatalawinna,Central Province,Kandy,7.343,80.6463
20810,Wattegama,Central Province,Kandy,7.3493,80.6808
20816,Doragamuwa,Central Province,Kandy,7.3638,80.6557
20818,Rathukohodigala,Central Province,Kandy,7.3566,80.6683
20822,Jambugahapitiya,Central Province,Kandy,7.3792,80.6429
20824,Dunuwila,Central Province,Kandy,7.3792,80.6429
20828,Makkanigama,Central Province,Kandy,7.3792,80.6429
20830,Panvila,Central Province,Kandy,7.0665,80.6919
20838,Tawalantenna,Central Province,Kandy,7.0665,80.6919
20840,Madulkele,Central Province,Kandy,7.3979,80.731
20850,Akurana,Central Province,Kandy,7.3667,80.6167
20900,Teldeniya,Central Province,Kandy,7.2969,80.7686
20902,Kumbukkandura,Central Province,Kandy,7.3147,80.7616
20904,Senarathwela,Central Province,Kandy,7.3147,80.7616
20906,Putuhapuwa,Central Province,Kandy,7.3325,80.7545
20908,Werapitya,Central Province,Kandy,7.3147,80.7616
20914,Wendaruwa,Central Province,Kandy,7.3076,80.887
20916,Udispattuwa,Central Province,Kandy,7.3076,80.887
20921,Makuldeniya,Central Province,Kandy,7.3333,80.7833
20922,Rangala,Central Province,Kandy,7.3539,80.7853
20923,Mimure,Central Province,Kandy,7.4333,80.8333
20924,Kahataliyadda,Central Province,Kandy,7.376,80.8213
20926,Kalugala,Central Province,Kandy,7.3833,80.8833
20928,Kobonila,Central Province,Kandy,7.376,80.8213
20932,Bopana,Central Province,Kandy,7.3,80.9
20934,Uduwahinna,Central Province,Kandy,7.2833,80.8917
20938,Madugalla,Central Province,Kandy,7.2667,80.8833
